Month/Year,Rate Gas Mcf/Day,Sales Rate Gas Mcf/Day,Sales PRB Non Coal Bed Mcf/Day,Water Bbls/Day,Prod Wells,Shut-In Wells,Federal Gas,Fee Gas,State Gas,Total Gas Mcf,Sales Gas Mcf,Federal Water,Fee Water,State Water,Total Water Bbls
Jan-87,777,0,0,0,2,14,85,24109,0,24109,0,20,0,31,0
Feb-87,1258,0,0,0,2,14,77,35246,0,35246,0,21,0,28,0
Mar-87,591,0,0,0,2,14,85,18335,0,18335,0,23,0,31,0
Apr-87,755,0,0,0,4,9,110,22540,0,22650,0,0,0,30,0
May-87,435,0,0,0,4,9,252,13251,0,13503,0,0,0,0,0
Jun-87,1152,0,0,0,4,12,981,33592,0,34573,0,0,0,0,0
Jul-87,1269,0,0,0,4,12,1116,38245,0,39361,0,0,0,0,0
Aug-87,1658,0,0,0,4,12,1808,49600,0,51408,0,0,0,0,0
Sep-87,1392,0,0,0,4,12,1940,39839,0,41779,0,0,0,0,0
Oct-87,1329,0,0,0,4,12,1675,39553,1046,41228,0,0,0,0,0
Nov-87,1309,0,0,0,4,12,1563,37710,0,39273,0,0,0,0,0
Dec-87,1738,0,0,0,8,8,6334,47572,0,53906,0,0,0,0,0
Jan-88,1736,0,0,0,11,20,13936,39901,0,53837,0,0,0,31,0
Feb-88,2257,0,0,0,11,20,15338,50121,0,65459,0,0,0,29,0
Mar-88,2250,0,0,0,11,17,21586,48170,0,69756,0,0,0,0,0
Apr-88,2178,0,0,0,11,17,16751,48599,0,65350,0,0,0,90,0
May-88,1704,0,0,0,11,17,14456,38394,0,52850,0,0,0,90,0
Jun-88,1865,0,0,0,11,17,15220,40749,0,55969,0,0,0,30,0
Jul-88,1845,0,0,0,13,15,14842,42364,0,57206,0,0,0,0,0
Aug-88,1746,0,0,0,13,15,13920,40210,0,54130,0,0,0,31,0
Sep-88,1695,0,0,6,14,14,11893,38319,652,50864,0,0,0,200,200
Oct-88,1571,0,0,14,15,13,15091,32760,865,48716,0,0,0,445,445
Nov-88,1578,0,0,10,15,13,16255,30559,530,47344,0,0,0,300,300
Dec-88,1821,0,0,4,15,13,13807,42492,178,56477,0,0,0,150,150
Jan-89,1684,0,0,6,14,28,12151,39845,212,52208,0,0,0,200,200
Feb-89,2034,0,0,3,16,26,20833,36076,64,56973,0,0,0,100,100
Mar-89,2323,0,0,9,17,25,21483,50156,386,72025,0,0,0,300,300
Apr-89,2346,0,0,76,19,21,18466,51574,354,70394,0,0,2052,250,2302
May-89,2812,0,0,1210,20,21,18016,68843,319,87178,0,0,37200,315,37515
Jun-89,2875,0,0,1335,20,22,19974,66092,206,86272,0,5,39871,180,40056
Jul-89,2749,0,0,1319,20,22,17858,67357,14,85229,0,5,40882,20,40907
Aug-89,2083,0,0,1205,20,21,11691,52899,0,64590,0,0,37385,31,37385
Sep-89,2608,0,0,1405,24,18,14260,63809,176,78245,0,0,42053,120,42173
Oct-89,2392,0,0,4988,23,19,14131,59644,399,74174,0,0,154433,210,154643
Nov-89,2266,0,0,3784,23,19,14083,53686,215,67984,0,0,113396,150,113546
Dec-89,2263,0,0,1347,22,19,12761,57207,213,70181,0,0,41064,700,41764
Jan-90,2847,0,0,1402,24,52,12470,75754,60,88284,0,0,43402,60,43462
Feb-90,3078,0,0,1214,25,51,12020,74096,74,86190,0,0,33917,80,33997
Mar-90,2949,0,0,1116,26,49,10963,80423,47,91433,0,0,34580,40,34620
Apr-90,2380,0,0,1215,26,50,8351,62964,100,71415,0,0,36392,72,36464
May-90,2266,0,0,1139,28,46,6618,63380,249,70247,0,0,35188,144,35332
Jun-90,4215,0,0,2240,38,38,11056,115211,203,126470,0,0,67126,80,67206
Jul-90,3425,0,0,1649,35,41,9166,96882,156,106204,0,0,51092,40,51132
Aug-90,2753,0,0,1625,39,37,12553,72754,48,85355,0,2450,47916,10,50376
Sep-90,2778,0,0,1950,36,40,17626,65525,190,83341,0,4985,53482,60,58527
Oct-90,2755,0,0,2466,36,40,13633,71636,146,85415,0,137,76270,50,76457
Nov-90,2648,0,0,2034,34,39,12203,67245,0,79448,0,746,60265,10,61021
Dec-90,1349,0,0,1376,34,39,7348,34500,0,41848,0,359,42317,240,42676
Jan-91,1545,1485,85456,1805,38,68,11181,34374,2354,47909,46062,443,55519,2,55964
Feb-91,2140,2081,88611,3573,47,60,15193,42781,1950,59924,58285,579,99479,0,100058
Mar-91,2960,2913,87110,4009,48,59,31026,60634,107,91767,90326,8224,116049,12,124285
Apr-91,2739,2683,86672,3957,49,58,23442,58672,69,82183,80515,664,118038,8,118710
May-91,2492,2473,87500,6259,48,58,18599,58671,1,77271,76668,2430,191620,0,194050
Jun-91,2569,2552,85897,6065,50,56,7399,69684,0,77083,76581,2443,179527,246,181970
Jul-91,3392,3382,87484,6031,49,57,18192,86983,0,105175,104862,1993,184996,260,186989
Aug-91,2989,2987,86625,5946,51,56,16226,76458,0,92684,92607,1361,182980,327,184341
Sep-91,3100,3097,85065,5933,49,57,14640,78385,0,93025,92914,1286,176721,431,178007
Oct-91,3394,3394,83023,6101,54,52,24246,80973,0,105219,105227,850,188301,0,189151
Nov-91,2686,2001,77874,5345,50,55,14907,65679,0,80586,60040,929,159442,961,160371
Dec-91,2654,1982,77494,4569,48,58,10172,72107,0,82279,61460,1328,140331,1267,141659
Jan-92,2448,2357,77749,5581,50,94,7129,68768,0,75897,73072,11013,162008,1486,173021
Feb-92,2486,2465,79801,6569,53,92,8273,63842,0,72115,71503,1243,189281,1509,190524
Mar-92,2238,2116,80745,5681,49,94,6706,62684,0,69390,65619,1404,174728,1686,176132
Apr-92,2095,2059,78983,6320,53,92,6868,55995,0,62863,61779,4788,184829,1730,189617
May-92,1604,1622,81482,6191,53,92,6261,43466,0,49727,50290,9586,182356,1929,191942
Jun-92,1642,1623,85145,8477,50,95,5138,43239,900,49277,48711,89908,164408,0,254316
Jul-92,1578,1563,77224,32739,45,100,4322,44122,499,48943,48480,854502,160417,0,1014919
Aug-92,1815,1815,79869,31494,46,99,4699,51585,0,56284,56270,763890,212433,2020,976323
Sep-92,1996,1996,81480,25148,42,102,4972,54927,0,59899,59885,559761,194706,1873,754467
Oct-92,2361,2360,81444,33984,52,91,10877,62166,155,73198,73183,853453,200067,0,1053520
Nov-92,2308,2308,79070,28110,49,90,7376,61878,0,69254,69241,618427,224894,1897,843321
Dec-92,2131,2131,73636,7125,48,96,6995,59090,0,66085,66085,1407,219481,2015,220888
Jan-93,1826,1826,74295,6420,47,141,6076,50531,0,56607,56607,2486,196538,2100,199024
Feb-93,1540,1540,72661,6141,41,147,4893,38242,0,43135,43135,8125,163833,1906,171958
Mar-93,1399,1370,73142,6506,43,140,5176,38206,0,43382,42481,1380,200330,2082,201710
Apr-93,1315,1315,72077,5029,43,141,5322,34148,0,39470,39470,7576,143306,2280,150882
May-93,2661,2660,72017,8242,76,108,9005,73495,0,82500,82470,18184,237346,2868,255530
Jun-93,2454,2387,73862,14382,75,108,8517,65132,0,73649,71621,11396,420075,2898,431471
Jul-93,2460,2442,74655,17026,75,109,10506,65782,0,76288,75706,21369,506437,3477,527806
Aug-93,3091,3019,74751,21452,99,80,14627,74611,6593,95831,93613,67752,597147,137,665036
Sep-93,3726,3714,74875,28785,101,82,14195,92777,4824,111796,111444,90817,772419,326,863562
Oct-93,4464,4457,74542,28282,110,72,18162,111087,9145,138394,138193,96026,766885,13831,876742
Nov-93,5130,1274,134523,31772,113,70,22726,126447,4729,153902,38243,101847,824510,26805,953162
Dec-93,5477,1449,97696,27607,113,72,24980,141699,3130,169809,44922,93565,733573,28682,855820
Jan-94,5167,5168,98263,21897,108,91,22566,129845,7784,160195,160215,80651,572754,25426,678831
Feb-94,5662,5662,71647,24319,108,96,24216,127409,6937,158562,158562,85402,573969,21561,680932
Mar-94,6176,6061,72995,24827,107,97,28039,148924,14509,191472,187893,80945,665359,23361,769665
Apr-94,6166,6040,76868,24317,108,96,26417,143605,14961,184983,181202,86815,619816,22890,729521
May-94,6296,6151,79606,22896,108,97,27676,150886,16633,195195,190687,84047,608562,17174,709783
Jun-94,6531,6188,78429,24480,106,92,29366,145246,21329,195941,185654,90935,620851,22620,734406
Jul-94,6633,6139,75778,24887,110,95,30767,152005,22878,205650,190327,94234,653892,23374,771500
Aug-94,6611,6308,75379,23253,109,98,30671,152294,21977,204942,195575,95732,602519,22620,720871
Sep-94,7187,6878,74630,27158,110,97,34576,158614,22433,215623,206347,115592,667549,31620,814761
Oct-94,7305,7016,73573,27467,109,96,36177,164315,25971,226463,217525,132697,688015,30790,851502
Nov-94,7775,7580,72486,31031,110,97,37397,170669,25198,233264,227408,122787,745986,62160,930933
Dec-94,7900,7778,72038,32986,119,88,38440,185847,20638,244925,241126,137375,812563,72633,1022571
Jan-95,9027,7778,73400,33655,122,115,34168,227251,18444,279863,241133,135186,846402,61740,1043328
Feb-95,8443,8443,69460,36671,119,123,35497,183663,17268,236428,236422,137442,837987,51364,1026793
Mar-95,9559,9598,69902,38802,122,122,41950,235277,19115,296342,297566,158682,986840,57357,1202879
Apr-95,10574,10574,70940,40639,122,122,41622,252680,22939,317241,317241,159292,998441,61451,1219184
May-95,11302,11301,101127,43037,118,127,42162,285436,22778,350376,350336,219206,1049432,65525,1334163
Jun-95,12385,12435,102795,47366,125,119,40805,309587,21178,371570,373055,242333,1105396,73277,1421006
Jul-95,13041,13120,109174,50912,129,116,44836,324353,35093,404282,406733,233086,1249256,95937,1578279
Aug-95,13303,13382,112515,54095,124,121,41818,356952,13628,412398,414849,167145,1409015,100789,1676949
Sep-95,14637,14637,110289,52667,126,119,44060,375751,19315,439126,439126,87930,1390546,101558,1580034
Oct-95,15600,15600,107054,55338,153,91,41015,414026,28577,483618,483618,105801,1455437,154240,1715478
Nov-95,18794,18310,104843,58976,154,89,48656,461956,53236,563848,549317,146153,1467535,155610,1769298
Dec-95,19290,18796,100594,59419,159,83,56151,489200,52654,598005,582687,190383,1499584,152028,1841995
Jan-96,19400,19400,100965,57060,167,131,55002,502935,43467,601404,601404,154192,1480904,133782,1768878
Feb-96,18577,18577,104934,51157,166,132,53427,453173,32141,538741,538741,129187,1238053,116328,1483568
Mar-96,19317,19317,104701,46581,170,128,56844,498168,43845,598857,598857,114709,1232537,96769,1444015
Apr-96,18755,18750,107383,45590,166,124,45648,468317,48687,562652,562525,77246,1177682,112774,1367702
May-96,20800,20966,103362,50052,168,128,62940,519233,62647,644820,649956,146426,1274457,130739,1551622
Jun-96,24705,24475,107282,55069,179,119,69935,612159,59056,741150,734272,138441,1384969,128666,1652076
Jul-96,26605,26573,107980,55197,184,112,70406,689191,65180,824777,823777,197062,1390913,123150,1711125
Aug-96,25781,25781,109540,53683,181,117,74065,659226,65946,799237,799237,194444,1340974,128779,1664197
Sep-96,25030,25192,103009,57306,158,113,78600,614821,57489,750910,755779,222286,1368475,128425,1719186
Oct-96,26711,26711,102060,62126,160,98,96455,665262,66346,828063,828063,278161,1494929,152839,1925929
Nov-96,27614,27529,98668,65418,174,94,105810,660281,62337,828428,825889,269940,1531249,161366,1962555
Dec-96,27457,27388,93653,64452,180,93,113626,668838,68731,851195,849043,279522,1528046,190459,1998027
Jan-97,28064,26935,96510,73555,189,328,116963,684174,68862,869999,834999,377240,1693846,209138,2280224
Feb-97,27632,27608,99769,88515,237,296,111233,609750,52717,773700,773049,475231,1818796,184417,2478444
Mar-97,33514,33320,100931,107421,279,254,145877,827324,65742,1038943,1032942,618078,2453524,258449,3330051
Apr-97,34616,34361,95581,121485,288,246,157103,819017,62373,1038493,1030839,919549,2440100,284913,3644562
May-97,36193,36044,101840,113303,294,232,176116,871550,74328,1121994,1117382,830689,2397669,284050,3512408
Jun-97,36747,36483,97178,112038,300,209,173753,852766,75892,1102411,1094511,713232,2438061,209873,3361166
Jul-97,29635,29272,96955,104054,307,206,145235,731089,42384,918708,907455,624093,2453209,148389,3225691
Aug-97,42743,41985,97683,134640,337,193,203243,1051508,70298,1325049,1301560,785071,3225489,163285,4173845
Sep-97,40803,40730,100817,138170,344,177,198768,956552,68782,1224102,1221910,1024157,3004773,116199,4145129
Oct-97,46746,46402,96903,156077,367,158,210799,1139158,99193,1449150,1438489,959214,3625202,253994,4838410
Nov-97,51341,51187,100816,167376,356,174,203526,1217090,119636,1540252,1535636,858593,3856241,306473,5021307
Dec-97,54251,55067,97134,165300,362,176,209701,1346052,126029,1681782,1707078,886143,3893168,345009,5124320
Jan-98,63747,61995,99557,159136,399,582,227958,1564497,183720,1976175,1921868,838462,3712953,381802,4933217
Feb-98,67676,66252,100345,168308,428,549,213148,1471533,210251,1894932,1855078,739376,3547631,425620,4712627
Mar-98,69206,67421,99761,167245,439,543,242776,1663721,238889,2145386,2090063,758245,3983252,443100,5184597
Apr-98,73214,70641,100885,169301,448,536,244046,1718713,233686,2196445,2119238,831505,3855067,392463,5079035
May-98,73098,72243,96243,172582,454,535,277962,1742821,245270,2266053,2239559,818208,4121168,410691,5350067
Jun-98,79331,78351,102834,213757,489,489,318562,1813862,247512,2379936,2350539,1148674,4790212,473843,6412729
Jul-98,79357,78607,94739,187496,516,452,312062,1875401,272609,2460072,2436831,989598,4282257,540551,5812406
Aug-98,85971,84909,92718,201563,569,379,318892,2047686,298527,2665105,2632187,991749,4666506,590201,6248456
Sep-98,100291,97497,97184,220316,602,349,357871,2299584,351304,3008759,2924930,1094794,4871499,643191,6609484
Oct-98,102457,100910,93260,244465,618,325,378634,2428790,368766,3176190,3128222,1162012,5794306,622102,7578420
Nov-98,106885,105440,99191,239791,621,399,381873,2476469,348226,3206568,3163211,1062950,5568214,562578,7193742
Dec-98,111195,108796,102926,228939,653,363,481516,2605683,359851,3447050,3372679,1178827,5372229,546078,7097134
Jan-99,118237,116276,109162,260651,729,2103,567035,2745644,352689,3665368,3604580,1450139,5825488,804557,8080184
Feb-99,123899,122192,112741,301040,745,1929,576700,2583637,308844,3469181,3421401,1730763,5720050,978324,8429137
Mar-99,132868,131239,114333,314453,787,1883,704310,3017622,396976,4118908,4068438,1935420,6534123,1278515,9748058
Apr-99,136836,132666,111689,319282,849,1882,710476,3094553,300062,4105091,3980007,1872743,6710222,995521,9578486
May-99,143575,141452,107146,352984,949,1723,725255,3425585,299994,4450834,4385030,1873441,7515648,1553442,10942531
Jun-99,153712,150592,108211,477951,1016,1621,716823,3596321,298245,4611389,4517779,1912164,9937648,2488732,14338544
Jul-99,156525,154365,105253,422287,1113,1548,690889,3868604,292790,4852283,4785331,1716374,9070422,2304131,13090927
Aug-99,154472,151619,96282,456919,1141,1403,639226,3845688,303730,4788644,4700209,1784507,9937453,2442546,14164506
Sep-99,171099,167198,122505,502929,1240,1291,682836,4099909,350244,5132989,5015943,1779614,10132555,3175725,15087894
Oct-99,169792,188357,129265,473564,1184,1253,738394,4094938,430244,5263576,5839081,1814062,9761128,3105295,14680485
Nov-99,175786,195089,126759,521810,1378,1180,753096,4062789,457711,5273596,5852673,1758723,10594572,3301015,15654310
Dec-99,209629,228431,136046,624850,1544,1230,902240,4925663,670601,6498504,7081365,2317671,13197848,3854851,19370370
Jan-00,273418,266700,137097,731353,1877,2534,1123383,6327708,1024890,8475981,8267705,2392518,16310752,3968679,22671949
Feb-00,300307,292499,140202,844101,2152,2273,1202551,6472374,1034006,8708931,8482497,2153145,18532053,3793740,24478938
Mar-00,318329,309297,146528,907896,2509,2077,1528118,7248491,1091609,9868218,9588237,3332907,20956788,3855110,28144805
Apr-00,351929,341840,143229,1003060,2711,1981,1674320,7917963,965612,10557895,10255210,3334112,22843692,3914000,30091804
May-00,381652,376653,143727,957399,2834,2074,1955627,8839599,1035998,11831224,11676267,3557015,22037053,4085308,29679376
Jun-00,406679,403995,123854,991657,2953,2152,2057260,9098241,1044884,12200385,12119877,3641154,22014786,4093789,29749729
Jul-00,420550,413693,139387,998412,3192,2184,2227683,9728463,1080933,13037079,12824499,3661002,22816994,4472781,30950777
Aug-00,457757,447071,135697,1137678,3614,2293,2476907,10589610,1123963,14190480,13859206,3779465,26091975,5396605,35268045
Sep-00,481637,470181,132856,1229177,3875,2368,2525821,10798853,1124442,14449116,14105440,4044659,27471743,5358930,36875332
Oct-00,497146,489153,166303,1159552,4111,2564,2846319,11440157,1125073,15411549,15163760,3846482,27274323,4825309,35946114
Nov-00,508701,498859,164636,1149977,4264,2624,2853980,11384130,1022940,15261050,14965798,4026941,25955328,4517067,34499336
Dec-00,547031,532736,159748,1207093,4507,2586,3362214,12500475,1095300,16957989,16514838,4589031,27761876,5068979,37419886
Jan-01,589110,569189,159341,1302223,4955,2444,3487312,13626628,1148477,18262417,17644869,4742553,30402771,5223610,40368934
Feb-01,605664,591782,156949,1413481,5121,2492,3212165,12644265,1102189,16958619,16569899,4439083,30035221,5103182,39577486
Mar-01,640472,621582,154996,1435528,5422,2566,3804007,14691620,1359026,19854653,19269043,5186628,33824102,5490643,44501373
Apr-01,658190,638823,154764,1348560,5632,2700,3798379,14497703,1449645,19745727,19164701,4687385,29366494,6402922,40456801
May-01,669273,650453,155735,1465517,5927,2733,3886627,15293196,1567640,20747463,20164065,5025908,33808082,6597049,45431039
Jun-01,686027,662888,150631,1388120,6225,3006,3788794,15193938,1598107,20580839,19886656,4745400,30628386,6269842,41643628
Jul-01,706024,680384,147931,1332479,6607,3079,4086357,16116043,1684350,21886750,21091934,3957586,31182981,6166289,41306856
Aug-01,724102,697500,146213,1412250,7176,3111,4295741,16295898,1855535,22447174,21622526,5024333,31517988,7237436,43779757
Sep-01,721329,701048,152278,1439431,7548,3195,4355804,15442724,1841365,21639893,21031453,5512931,29983335,7686692,43182958
Oct-01,776717,770128,138939,1417365,7768,3371,5053326,17025186,1999737,24078249,23873998,5590749,30851838,7495734,43938321
Nov-01,801441,787363,142604,1432439,7929,3533,5151288,16848277,2043691,24043256,23620905,6049841,30080762,6842596,42973199
Dec-01,829277,813226,144119,1446387,8197,3539,5596378,17903903,2207331,25707612,25210017,6064603,32077807,6695609,44838019
Jan-02,832642,818346,143680,1491063,8483,3528,5755014,17813322,2243588,25811924,25368736,6499366,33357312,6366285,46222963
Feb-02,834571,822047,141346,1568611,8752,3497,5255975,16009989,2102049,23368013,23017338,6309065,31030271,6581798,43921134
Mar-02,839753,824178,138977,1525456,8750,3706,5925647,17684963,2421734,26032344,25549539,7455489,33157587,6676088,47289164
Apr-02,844582,827262,136005,1553786,9046,3639,5916111,17069859,2351519,25337489,24817877,7811400,32509651,6292553,46613604
May-02,877919,869951,140264,1742450,9214,3696,6410551,18020977,2783985,27215513,26968490,8169839,38793476,7052657,54015972
Jun-02,877811,859830,134188,1573374,9510,3665,6225738,17534112,2574507,26334357,25794906,8082222,32681474,6437530,47201226
Jul-02,898159,877768,133458,1533064,9752,3679,6736129,18456304,2650507,27842940,27210832,8299720,32610583,6614694,47524997
Aug-02,922295,905306,131914,1637975,9934,3695,6961156,18826431,2803569,28591156,28064491,8474991,35380316,6921941,50777248
Sep-02,938072,920752,130449,1540301,10081,3746,6909018,18475766,2757378,28142162,27622573,8956926,30797102,6455003,46209031
Oct-02,941273,925899,122978,1653003,10393,3571,7310621,18999798,2869049,29179468,28702885,10390037,33630888,7222190,51243115
Nov-02,963862,946797,125346,1612607,10596,3510,7306342,18618892,2990635,28915869,28403915,10504650,31154387,6719176,48378213
Dec-02,956126,937520,123392,1598136,10730,3489,7696144,18903113,3040670,29639927,29063124,11334489,31080957,7126773,49542219
Jan-03,949921,923767,125794,1633937,10966,3498,7888945,18574114,2984493,29447552,28636804,11756679,31676018,7219375,50652072
Feb-03,943511,917391,125405,1593185,11036,3516,7166447,16626404,2625473,26418324,25686967,10090185,28095040,6423970,44609195
Mar-03,933773,909750,120909,1589123,11170,3494,7996222,18102773,2847982,28946977,28202267,11340850,30408138,7513853,49262841
Apr-03,931829,911610,121317,1597237,11281,3538,7850816,17357984,2746086,27954886,27348321,11151616,29750421,7015076,47917113
May-03,930576,909924,117649,1531546,11296,3715,8220823,17841349,2785703,28847875,28207648,11159439,28877322,7441165,47477926
Jun-03,939286,920455,115196,1550782,11597,3548,8018562,17399305,2760737,28178604,27613664,10518055,28995794,7009635,46523484
Jul-03,935954,918549,118976,1519969,11819,3491,8163955,17995330,2855310,29014595,28475033,10602011,29137600,7379443,47119054
Aug-03,963725,943544,117328,1534826,12004,3542,8399661,18625318,2850518,29875497,29249868,10653353,29843025,7083247,47579625
Sep-03,975744,957102,120721,1596710,12022,3727,8276369,18305076,2690877,29272322,28713080,10540374,30230693,7130245,47901312
Oct-03,976403,956738,116272,1602729,12161,3807,8603953,18823353,2841191,30268497,29658882,10996106,31642343,7046172,49684621
Nov-03,945824,919708,109817,1444729,12085,4035,8113816,17491332,2769593,28374741,27591242,8884191,28450448,6007233,43341872
Dec-03,940299,914712,105746,1429019,12180,4141,8257631,18062666,2828996,29149293,28356077,8276578,29824895,6198127,44299600
Jan-04,902233,879266,103708,1403042,12299,4131,7802592,17463991,2702666,27969249,27257274,8591150,28739011,6164160,43494321
Feb-04,905195,880820,104362,1508406,12521,4050,7366272,16324563,2559830,26250665,25543806,9198182,28156027,6389567,43743776
Mar-04,892780,866868,104126,1435156,12503,4179,7820715,17117892,2737594,27676201,26872930,9690399,27965863,6833581,44489843
Apr-04,906229,882287,106413,1480605,12684,4195,7672657,16781216,2733001,27186874,26468637,9730670,27268634,7418859,44418163
May-04,910814,886676,105825,1401663,12974,4068,7899774,17494862,2840602,28235238,27486956,9472504,27413914,6565147,43451565
